Date,Open,High,Low,Close,Volume
01/22/2024,"156.89","157.05","153.90","154.78","43,687,473"
01/19/2024,"153.83","155.76","152.74","155.34","51,651,633"
01/18/2024,"152.77","153.78","151.82","153.50","37,850,246"
01/17/2024,"151.49","152.15","149.91","151.71","34,953,359"
01/16/2024,"153.53","154.99","152.15","153.16","41,384,641"
01/12/2024,"155.39","156.20","154.01","154.62","40,484,160"
01/11/2024,"155.04","157.17","153.12","155.18","49,072,688"
01/10/2024,"152.06","154.42","151.88","153.73","44,421,832"
01/09/2024,"148.33","151.71","148.21","151.37","43,812,566"
01/08/2024,"146.74","149.40","146.15","149.10","46,757,047"
01/05/2024,"144.69","146.59","144.53","145.24","45,153,152"
01/04/2024,"145.59","147.38","144.05","144.57","56,039,809"
01/03/2024,"149.20","151.05","148.33","148.47","49,425,500"
01/02/2024,"151.54","152.38","148.39","149.93","47,339,422"
12/29/2023,"153.10","153.89","151.03","151.94","39,823,199"
12/28/2023,"153.72","154.08","152.95","153.38","27,057,000"
12/27/2023,"153.56","154.78","153.12","153.34","31,434,730"
12/26/2023,"153.56","153.98","153.03","153.41","25,067,221"
12/22/2023,"153.77","154.35","152.71","153.42","29,514,090"
12/21/2023,"153.30","153.97","152.10","153.84","36,305,727"
12/20/2023,"152.90","155.63","151.56","152.12","50,322,113"
12/19/2023,"154.40","155.12","152.69","153.79","43,171,289"
12/18/2023,"150.56","154.86","150.05","154.07","62,512,832"
12/15/2023,"148.38","150.57","147.88","149.97","110,089,297"
12/14/2023,"149.93","150.54","145.52","147.42","58,400,848"
12/13/2023,"148.12","149.46","146.82","148.84","52,766,199"
12/12/2023,"145.52","147.50","145.30","147.48","44,944,262"
12/11/2023,"145.66","146.19","143.64","145.89","50,907,289"
12/08/2023,"145.48","147.84","145.40","147.42","41,905,969"
12/07/2023,"146.15","147.92","145.34","146.88","52,352,832"
12/06/2023,"147.58","147.85","144.28","144.52","39,678,961"
12/05/2023,"143.55","148.57","143.13","146.88","46,822,406"
12/04/2023,"145.25","145.35","142.81","144.84","48,294,238"
12/01/2023,"146.00","147.25","145.55","147.03","39,951,832"
11/30/2023,"144.76","146.93","144.33","146.09","65,814,023"
11/29/2023,"147.85","148.54","145.97","146.32","40,610,910"
11/28/2023,"146.98","147.60","145.53","147.03","42,711,680"
11/27/2023,"147.53","149.26","146.88","147.73","53,762,434"
11/24/2023,"146.70","147.20","145.32","146.74","22,378,381"
11/22/2023,"144.57","147.74","144.57","146.71","45,700,000"
11/21/2023,"143.91","144.05","141.50","143.90","71,225,992"
11/20/2023,"145.13","146.63","144.73","146.13","41,978,770"
11/17/2023,"142.66","145.23","142.55","145.18","49,678,441"
11/16/2023,"140.91","143.32","139.52","142.83","49,653,512"
11/15/2023,"147.06","147.29","142.59","143.20","63,875,719"
11/14/2023,"145.00","147.26","144.68","145.80","56,674,551"
11/13/2023,"142.08","143.23","140.67","142.59","35,680,566"
11/10/2023,"140.46","143.65","139.91","143.56","49,349,941"
11/09/2023,"142.02","142.65","139.84","140.60","36,235,367"
11/08/2023,"142.97","143.12","141.22","142.08","44,521,660"
11/07/2023,"140.55","143.37","140.50","142.71","53,553,539"
11/06/2023,"138.76","140.73","138.36","139.74","44,970,422"
11/03/2023,"138.99","139.49","137.45","138.60","44,059,809"
11/02/2023,"138.73","138.81","136.47","138.07","52,236,688"
11/01/2023,"133.96","137.35","133.71","137.00","61,529,406"
10/31/2023,"132.75","133.57","131.71","133.09","51,589,379"
10/30/2023,"129.72","133.00","128.56","132.71","72,485,539"
10/27/2023,"126.20","130.02","125.52","127.74","125,309,297"
10/26/2023,"120.63","121.64","118.35","119.57","100,419,508"
10/25/2023,"126.04","126.34","120.79","121.39","74,577,539"
10/24/2023,"127.74","128.80","126.34","128.56","46,477,359"
10/23/2023,"124.63","127.88","123.98","126.56","48,259,953"
10/20/2023,"128.05","128.17","124.97","125.17","56,406,406"
10/19/2023,"130.57","132.24","127.47","128.40","60,961,359"
10/18/2023,"129.90","130.67","127.51","128.13","42,699,480"
10/17/2023,"130.39","132.58","128.71","131.47","49,344,551"
10/16/2023,"130.69","133.07","130.43","132.55","42,832,922"
10/13/2023,"132.98","133.31","128.95","129.79","45,824,688"
10/12/2023,"132.17","134.48","131.23","132.33","55,528,578"
10/11/2023,"129.74","132.05","129.61","131.83","40,741,840"
10/10/2023,"128.82","130.74","128.05","129.48","42,178,621"
10/09/2023,"126.22","128.79","124.76","128.26","38,773,738"
10/06/2023,"124.16","128.45","124.13","127.96","46,836,699"
10/05/2023,"126.71","126.73","124.33","125.96","39,660,641"
10/04/2023,"126.06","127.36","125.68","127.00","44,203,871"
10/03/2023,"128.06","128.52","124.25","124.72","51,564,992"
10/02/2023,"127.28","130.47","126.54","129.46","48,029,738"
09/29/2023,"128.20","129.15","126.32","127.12","62,411,727"
09/28/2023,"124.04","126.58","123.04","125.98","54,554,969"
09/27/2023,"125.76","127.48","124.13","125.98","66,553,445"
09/26/2023,"130.12","130.39","125.28","125.98","73,048,211"
09/25/2023,"129.36","131.78","128.77","131.27","46,017,832"
09/22/2023,"131.11","132.03","128.52","129.12","59,904,352"
09/21/2023,"131.94","132.24","129.31","129.33","70,343,344"
09/20/2023,"138.55","139.37","135.20","135.29","46,263,719"
09/19/2023,"138.70","138.84","135.56","137.63","61,482,473"
09/18/2023,"140.48","141.75","139.22","139.98","42,823,480"
09/15/2023,"142.69","143.57","140.09","140.39","102,909,297"
09/14/2023,"145.08","145.86","142.95","144.72","64,033,609"
09/13/2023,"140.95","144.98","140.87","144.85","60,465,180"
09/12/2023,"142.32","143.00","140.61","141.23","42,668,449"
09/11/2023,"138.75","143.62","138.64","143.10","56,764,527"
09/08/2023,"136.86","138.85","136.75","138.23","38,365,930"
09/07/2023,"133.90","138.03","133.16","137.85","48,498,910"
09/06/2023,"136.32","137.45","134.61","135.36","41,785,512"
09/05/2023,"137.73","137.80","135.82","137.27","40,636,738"
09/01/2023,"139.46","139.96","136.88","138.12","40,991,539"
08/31/2023,"135.06","138.79","135.00","138.01","58,781,312"
08/30/2023,"134.93","135.68","133.92","135.07","36,137,020"
08/29/2023,"133.38","135.14","133.25","134.91","38,646,090"
08/28/2023,"133.78","133.95","131.85","133.14","34,108,406"
08/25/2023,"132.47","133.87","130.58","133.26","44,147,449"
08/24/2023,"136.40","136.78","131.83","131.84","43,646,246"
08/23/2023,"134.50","135.95","133.22","135.52","42,801,039"
08/22/2023,"135.08","135.65","133.73","134.25","32,935,102"
08/21/2023,"133.74","135.19","132.71","134.68","41,442,480"
08/18/2023,"131.62","134.07","131.15","133.22","48,497,699"
08/17/2023,"135.46","136.09","133.53","133.98","48,354,090"
08/16/2023,"137.19","137.27","135.01","135.07","41,675,898"
08/15/2023,"140.05","141.28","137.23","137.67","42,781,520"
08/14/2023,"138.30","140.59","137.75","140.57","47,148,699"
08/11/2023,"137.40","139.33","137.00","138.41","42,905,832"
08/10/2023,"139.08","140.41","137.49","138.56","58,928,398"
08/09/2023,"139.97","140.32","137.10","137.85","50,017,352"
08/08/2023,"140.62","140.84","138.42","139.94","51,710,500"
08/07/2023,"140.99","142.54","138.95","142.22","71,213,109"
08/04/2023,"141.06","143.63","139.32","139.57","153,128,500"
08/03/2023,"127.48","129.84","126.41","128.91","91,163,742"
08/02/2023,"130.15","130.23","126.82","128.21","51,027,609"
08/01/2023,"133.55","133.69","131.62","131.69","42,298,930"
07/31/2023,"133.20","133.87","132.38","133.68","41,901,520"
07/28/2023,"129.69","133.01","129.33","132.21","46,317,379"
07/27/2023,"131.00","132.63","127.79","128.25","52,610,660"
07/26/2023,"126.51","129.08","126.11","128.15","53,910,090"
07/25/2023,"129.31","129.58","128.53","129.13","39,236,660"
07/24/2023,"130.31","131.66","128.35","128.80","45,671,539"
07/21/2023,"131.34","131.37","128.42","130.00","133,307,297"
07/20/2023,"134.07","134.79","129.33","129.96","59,820,578"
07/19/2023,"133.39","135.99","132.53","135.36","54,531,039"
07/18/2023,"132.71","133.86","131.36","132.83","54,969,129"
07/17/2023,"134.56","135.62","133.21","133.56","48,450,199"
07/14/2023,"134.06","136.65","134.06","134.68","54,487,090"
07/13/2023,"134.04","134.67","132.71","134.30","61,170,879"
07/12/2023,"130.31","131.26","128.83","130.80","54,022,848"
07/11/2023,"127.75","129.77","127.35","128.78","49,951,461"
07/10/2023,"129.07","129.28","125.92","127.13","61,889,289"
07/07/2023,"128.59","130.97","128.13","129.78","41,992,246"
07/06/2023,"128.25","128.73","127.37","128.36","40,697,848"
07/05/2023,"130.24","131.40","129.64","130.38","35,895,406"
07/03/2023,"130.82","131.85","130.07","130.22","27,939,570"
06/30/2023,"129.47","131.25","128.95","130.36","54,350,680"
06/29/2023,"128.77","129.26","127.26","127.90","40,760,961"
06/28/2023,"128.94","131.48","128.44","129.04","52,149,512"
06/27/2023,"128.63","130.09","127.55","129.18","46,801,008"
06/26/2023,"129.33","131.49","127.10","127.33","59,989,320"
06/23/2023,"129.11","130.84","128.28","129.33","71,927,773"
06/22/2023,"125.31","130.33","125.14","130.15","90,354,570"
